koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_disposition
9.48803557,170.53875,0.146,2.9575,615.8,0.022344,3.20796,2.26,0.0853,89.66,793.0,93.59,24.81,5.135849,28.47082,35.8,2,142.0,0.6864,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,CONFIRMED
54.4183827,162.51384,0.586,4.507,874.8,0.027954,3.02368,2.83,0.2734,89.57,443.0,9.11,77.9,7.027669,20.109507,25.8,2,25.0,0.0023,5455.0,4.467,0.14,0.927,0.919,291.93423,48.141651,15.347,CONFIRMED
19.89913995,175.850252,0.969,1.7822,10829.0,0.154046,7.29555,14.6,0.1419,88.96,638.0,39.3,53.5,37.159767,187.4491,76.3,1,56.0,0.6624,5853.0,4.544,-0.18,0.868,0.961,297.00482,48.134129,15.436,CANDIDATE
1.736952453,170.307565,1.276,2.40641,8079.2,0.387394,0.2208,33.46,0.0267,67.09,1395.0,891.96,3.278,39.06655,541.8951,505.6,1,621.0,0.0,5805.0,4.564,-0.52,0.791,0.836,285.53461,48.28521,15.597,FALSE POSITIVE
2.525591777,171.59555,0.701,1.6545,603.3,0.024064,1.98635,2.75,0.0374,85.41,1406.0,926.16,8.75,4.749945,33.1919,40.9,1,515.0,0.309,6031.0,4.438,0.07,1.046,1.095,288.75488,48.2262,15.509,CONFIRMED
11.09432054,171.20116,0.538,4.5945,1517.5,0.036779,0.67324,3.9,0.0992,88.11,835.0,114.81,16.36,9.046456,55.204865,66.5,3,95.0,0.0975,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,CONFIRMED
4.13443512,172.97937,0.762,3.1402,686.0,0.026133,0.37377,2.77,0.0514,83.72,1160.0,427.65,6.96,5.500643,33.546658,40.2,3,240.0,0.546,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,CONFIRMED
2.56658897,179.55437,0.755,2.429,226.5,0.014983,0.48909,1.59,0.0374,82.17,1360.0,807.74,5.54,4.3886313,12.325094,15.0,3,355.0,0.4352,6046.0,4.486,-0.08,0.972,1.053,296.28613,48.22467,15.714,CONFIRMED
7.36178958,132.25053,1.169,5.022,233.7,0.183387,0.00485,39.21,0.082,60.92,1342.0,767.22,2.4,10.964684,46.15308,47.7,1,185.0,0.7213,6227.0,3.986,0.0,1.958,1.358,298.86435,42.151569,12.66,FALSE POSITIVE
16.06864674,173.621937,0.052,3.5347,4914.3,0.062161,3.6659,5.76,0.1158,89.92,600.0,30.75,36.85,20.457163,137.44981,161.9,3,69.0,0.1819,5031.0,4.485,0.16,0.848,0.801,286.99948,48.37579,15.841,CONFIRMED
2.470613377,122.763305,0.818,1.74319,14231.0,0.123871,1.83538,13.04,0.0354,84.41,1339.0,761.46,8.3977,544.1701,6468.04,4304.3,1,432.0,0.1522,5820.0,4.457,-0.06,0.964,0.971,286.80847,49.316399,11.338,CONFIRMED
2.204735417,121.3585417,0.224,3.88864,6674.7,0.075522,0.37936,16.1,0.0376,87.21,2048.0,4148.92,4.602,232.27,3862.1846,5945.9,1,611.0,0.0,6440.0,4.019,0.14,1.952,1.449,292.24728,47.969521,10.463,CONFIRMED
3.522498429,121.1194228,0.631,3.19843,9145.7,0.092086,0.65374,14.59,0.0473,85.2,1521.0,1264.67,7.541,130.83832,1725.5824,1741.5,1,384.0,0.6662,6225.0,4.169,-0.04,1.451,1.132,281.28812,42.45108,13.563,CONFIRMED
3.709214104,133.98318,0.051,2.6302,131.1,0.010424,1.77451,1.16,0.0465,89.73,1206.0,500.46,10.888,4.8657312,41.28873,50.6,2,352.0,0.605,5833.0,4.407,-0.04,1.022,0.974,295.64871,48.49556,12.772,CONFIRMED
11.521446064,170.839688,2.483,3.6399,17984.0,1.625358,1.27376,150.51,0.0978,83.13,753.0,75.88,20.75,92.901566,628.3708,622.1,1,96.0,0.154,5795.0,4.554,-0.2,0.848,0.938,297.07993,47.597401,15.472,FALSE POSITIVE
19.40393776,172.484253,0.804,12.2155,8918.7,0.096729,0.03785,7.18,0.123,84.93,523.0,17.69,9.099,49.468765,320.90817,214.7,1,71.0,0.806,5043.0,4.591,-0.54,0.68,0.657,289.25821,47.635319,15.487,FALSE POSITIVE
